wordID,word,meanings__context,meanings__words__001,meanings__words__002,meanings__words__003,meanings__words__004,meanings__words__005,meanings__words__006,meanings__words__007,meanings__words__008
1,Raya,Es muy difícil encontrar una raya en el acuario.,Pez,Negro,Peligro,Mantarraya,Tiburón,Animal,Marino,Mar
,,"Después de borrar su hoja, no le quedó ni una raya.",Línea,Recta,Palo,Lapiz,Geométrica,Lado,Dibujo,Curvo
2,Llama,"En su viaje a Jujuy, comió una milanesa de llama.",Animal,Camélido,Mamífero,Andino,Cuadrupedo,Pelos,Doméstico,Norte
,,Usaron un encendedor para prender la llama.,Fuego,Vela,Mechero,Parrilla,Cocinar,Calor,Incendio,Combustión
3,Salamandra,La salamandra era muy escurridiza y se movía por todo el lugar.,Lagarto,Reptil,Camaleón,Animal,Anfibio,Lagartija,Iguana,Vertebrado
,,Su padre compró una salamandra para evitar el frío en invierno.,Estufa,Carbon,Llamas,Calefacción,Madera,Calor,Humo,Hierro
4,Muñeca,El se quebró la muñeca jugando al paddle.,Brazo,Piel,Mano,Cuerpo,Persona,Articulación,Pulsera,Reloj
,,Su diversión favorita era jugar con su muñeca en el parque.,Juguete,Trapo,Niña,Niño,Infancia,Juego,Vestido,Entretenimiento
5,Palma,El ruido de un chasquido es producido por el golpe del pulgar con la palma.,Brazo,Piel,Mano,Cuerpo,Aplauso,Dedos,Falanges,Apretón
,,La palma tardó muchísimos años en llegar a tener esa altura.,Vegetal,Verdura,Palmera,Fruto,Verde,Caribe,Tropical,Aceite
6,Peso,Todo lo que me queda es un peso argentino.,Moneda,Billete,Economía,Dinero,Dólar,Cambio,Plata,Valor
,,El se pasó de peso en su equipaje y tuvo que empezar a sacar cosas de su valija.,Gravedad,Masa,Kilo,Pesado,Balanza,Gramos,Newton,Medida
7,Banco,El banco cerró y tuvo que despedir a todos sus empleados.,Préstamo,Crédito,Débito,Dinero,Cajero,Dólar,Pesos,Cheque
,,En su carpintería estaba fabricando un banco.,Silla,Sentarse,Parque,Exteriores,Escuela,Escritorio,Asiento,Plaza
8,Tarjeta,"Si no pagaba la tarjeta, iba a tener que pagar intereses.",Crédito,Débito,Préstamo,Dinero,Acciones,Dólar,Pesos,Pago
,,"Para felicitarlo, le dieron una tarjeta que contenía el nombre de todos.",Papel,Saludo,Invitación,Carta,Información,Regalo,Felicitación,Dirigida
9,Granada,Comer granada es delicioso.,Tropical,Semillas,Fruta,Granadina,Caribe,Rojo,Dulce,Mango
,,"Con una sola granada, abatió a 5 enemigos.",Guerra,Armamento,Armas,Solados,Violencia,Destrucción,Ataque,Militar
10,Lima,Fue a buscar una lima que tenía en la heladera.,Ácido,Limón,Limónero,Tragos,Caipirinha,Fruta,Mandarina,Cítrico
,,Con su lima pudo darle forma al latón.,Metal,Herramienta,Lija,Taller,Mecanico,Técnico,Limar,Corte
11,Mango,No podría parar de comer mango.,Tropical,Semillas,Fruta,Árbol,Caribe,Jugoso,Cáscara,Pulpa
,,Usaba el mango para agarrarlo y que no se le cayera.,Herramientas,Hacha,Lima,Martillo,Taller,Sartén,Manija,Madera
12,Copa,Fueron los vencedores y obtuvieron la copa.,Oro,Trofeo,Triunfo,Ganador,Premio,Campeonato,Campeón,Torneo
,,Tomaron de la misma copa para mostrar que no estaba envenenada.,Vaso,Vino,Champagne,Borracho,Alcohólico,Cristal,Bebida,Fiesta
13,Arco,No paraban de darle al arco.,Deporte,Fútbol,Hockey,Portería,Gol,Apuntar,Arquero,Red
,,El arco se veía gigante desde cerca.,Triunfo,Arquitectura,Puerta,Curva,Construcción,Abierto,Abertura,Pared
14,Penal,Messi se preparó para ejecutar el penal.,Deporte,Fútbol,Hockey,Handbol,Gol,Corner,Patear,Barrera
,,Del juzgado fueron directo al penal.,Abogados,Condena,Crimen,Juicio,Cárcel,Delito,Prisión,Criminal
